d_id,d_name,sd_id,sd_name
1,Belagavi,1,Chikkodi
1,Belagavi,2,Athani
1,Belagavi,3,Raibag
1,Belagavi,4,Gokak
1,Belagavi,5,Hukkeri
1,Belagavi,6,Belagavi
1,Belagavi,7,Khanapur
1,Belagavi,8,Savadatti
1,Belagavi,9,Bailhongal
1,Belagavi,10,Ramadurg
1,Belagavi,11,Kitthuru
1,Belagavi,12,Nippani
1,Belagavi,13,Kagavada
1,Belagavi,14,Mudalagi
1,Belagavi,15,Yaragatti
2,Bagalkot,16,Jamakhandi
2,Bagalkot,17,Bilagi
2,Bagalkot,18,Mudhol
2,Bagalkot,19,Badami
2,Bagalkot,20,Bagalkote
2,Bagalkot,21,Hungund
2,Bagalkot,22,Guledagudda
2,Bagalkot,23,Ilkal
2,Bagalkot,24,Rabakavi Banahatti
3,Vijayapura,25,Bijapur
3,Vijayapura,26,Indi
3,Vijayapura,27,Sindagi
3,Vijayapura,28,Basavan Bagewadi
3,Vijayapura,29,Muddebihal
3,Vijayapura,30,Nidagundi
3,Vijayapura,31,Babaleshwara
3,Vijayapura,32,Chadachana
3,Vijayapura,33,Talikote
3,Vijayapura,34,Tikota
3,Vijayapura,35,Kolhara
3,Vijayapura,36,Devara Hipparagi
3,Vijayapura,37,Alamela
4,Kalburgi,38,Aland
4,Kalburgi,39,Afzalpur
4,Kalburgi,40,Gulbarga
4,Kalburgi,41,Chincholi
4,Kalburgi,42,Sedam
4,Kalburgi,43,Chittapur
4,Kalburgi,44,Jevargi
4,Kalburgi,45,Kalagi
4,Kalburgi,46,Kamalapura
4,Kalburgi,47,Yadrami
4,Kalburgi,48,Shahbadha
5,Bidar,49,Basavakalyan
5,Bidar,50,Bhalki
5,Bidar,51,Aurad
5,Bidar,52,Bidar
5,Bidar,53,Humnabad
5,Bidar,54,Chittaguppa
5,Bidar,55,Kamalanagara
5,Bidar,56,Hulasuru
6,Raichur,57,Lingasugur
6,Raichur,58,Devdurga
6,Raichur,59,Raichur
6,Raichur,60,Manvi
6,Raichur,61,Sindhanur
6,Raichur,62,Maski
6,Raichur,63,Sirivara
7,Koppal,64,Yelburga
7,Koppal,65,Kushtagi
7,Koppal,66,Gangavathi
7,Koppal,67,koppal
7,Koppal,68,Karatagi
7,Koppal,69,Kukanuru
7,Koppal,70,Kanakagiri
